ds,yhat,yhat_lower,yhat_upper
2016-04-09,6432.932643818266,-295.83787386513495,13049.826110569715
2016-04-10,5966.7851199558245,-891.5406468751498,12921.243539677796
2016-04-11,2539.8658912553437,-4211.931606622437,8655.61387264905
2016-04-12,1259.5506665803714,-4864.308156040216,8333.625633729282
2016-04-13,1668.8391200988963,-4752.79201707462,9062.165882554194
2016-04-14,1684.5323229366795,-5304.644256746494,7730.353421498758
2016-04-15,2681.539961505471,-4273.6006571268235,9367.340389143776
2016-04-16,6478.549011291915,-677.4423887764121,13556.586826874782
2016-04-17,5940.580670395455,-487.7368801537007,12292.996898977131
2016-04-18,2452.5787412726986,-3899.448418097412,9994.233704208322
2016-04-19,1124.2437481095603,-5363.827898382116,7575.147022123135
2016-04-20,1500.5918427477663,-5231.215922203255,8468.893818413664
2016-04-21,1500.07309755378,-5152.141095162604,8546.68485555316
2016-04-22,2498.8289744880503,-4148.686702592061,9233.898472591365
2016-04-23,6316.322076700447,-611.3883451170949,13739.219793332164
2016-04-24,5817.866134514576,-967.112235230098,12534.02696143544
2016-04-25,2388.200238436809,-4345.319402128779,9171.689188962284
2016-04-26,1136.322083874038,-5306.692444414298,8232.375776382818
2016-04-27,1606.0593955662343,-5752.491536851251,8643.088458206303
2016-04-28,1714.2138792813566,-4899.685784516705,8615.38684958502
2016-04-29,2834.856878468743,-3400.124917177851,9954.051741159637
2016-04-30,6785.008885914455,-51.6010387665291,13212.660177928954
2016-05-01,6427.229586682718,-466.57388206074927,13486.259406863395
2016-05-02,3143.2608841354763,-3506.469399333189,10148.237614422475
2016-05-03,2038.935870130782,-4675.554267274512,8703.062718736746
2016-05-04,2654.830909871449,-3808.4958891993338,9718.757779209232
2016-05-05,2904.4930519160803,-3506.5133547555747,9674.803752837039
2016-05-06,4158.819722972686,-2442.645473489704,10687.292727936145
2016-05-07,8231.820618720449,1556.8119412361907,15234.301705703794
2016-05-08,7983.286268813789,1586.754113792123,14808.317786169402
2016-05-09,4792.503630082602,-2302.9027177583257,11379.632741855796
2016-05-10,3761.854790112707,-3215.5873970831144,10415.20212807608
2016-05-11,4431.648918245833,-2535.276413366807,11179.36283858877
2016-05-12,4714.268810840193,-2417.6620117404673,11052.920725067004
2016-05-13,5979.957208012975,-680.8774310817784,12329.462555982873
2016-05-14,10042.59725170792,3149.5986366011994,16654.564369053696
2016-05-15,9762.386008404268,3868.17079602589,16653.437425335054
2016-05-16,6519.54128091354,-75.68597831420703,12848.32151871039
2016-05-17,5419.252967639122,-1142.5190625860291,12832.194386777774
2016-05-18,6002.355007402848,-1007.717456104595,13123.864551854987
2016-05-19,6183.549588021367,-634.2612408590564,12831.979520036302
2016-05-20,7335.760659143112,628.8191415829417,14391.080671855194
2016-05-21,11275.847351671624,4598.389343885327,17757.914018579602
2016-05-22,10867.203062388056,4218.776097822615,17497.725397658774
2016-05-23,7493.382392540528,973.652604780499,14026.662539344243
2016-05-24,6262.969298070292,-457.62648961728644,13410.89360893653
2016-05-25,6720.164667712204,298.5694780430287,13293.655916952368
2016-05-26,6782.927203645355,-589.5059483514128,13619.568215096326
2016-05-27,7827.2468019910875,1281.9134590760393,15006.181137185013
2016-05-28,11672.783093662576,4891.932796024494,18680.04160850583
2016-05-29,11185.396809749465,4585.248921318805,17950.295386415553
